QUERY DESCRIPTIONS

Q01 : Total Particle Mass
GROUP/TYPE:,rock particle
SELECTED OBJECTS:,Conveyor_group
RANGE:,None
UNITS:,kg

Q02 : Total Particle Mass
GROUP/TYPE:,rock particle
SELECTED OBJECTS:,Hopper_group
RANGE:,None
UNITS:,kg

EXTRACTED DATA

TIME,Q01 : Total Particle Mass,Q02 : Total Particle Mass
6.3,0,0
6.3201,0,0
6.34005,0,0
6.36,0.394926,0
6.3801,1.45118,0
6.40005,1.45118,0
6.42,1.45118,0
6.4401,2.98566,0
6.46005,3.59242,0
6.48,4.74509,0
6.5001,5.92987,0
6.52005,7.91385,0
6.54,8.9701,0
6.5601,10.2513,0
6.58005,11.5194,0
6.6,12.7875,0
6.6201,13.757,0
6.64005,14.9097,0
6.66,15.7283,0
6.6801,16.8133,0
6.70005,18.3478,0
6.72,19.1474,0
6.7401,20.2036,0
6.76005,22.2615,0
6.78,22.8683,0
6.8001,24.3195,0
6.82005,25.0772,0
6.84,26.4417,0
6.8601,27.7098,0
6.88005,28.4997,0
6.9,30.4101,0
6.9201,31.1678,0
6.94005,32.7475,0
6.96,33.4507,0
6.9801,35.0816,0
7.00005,35.9002,0
7.02,37.6178,0
7.0401,38.504,0
7.06005,40.4334,0
7.08,41.4161,0
7.1001,42.7388,0
7.12005,43.5574,0
7.14,44.6136,0
7.1601,45.9781,0.394926
7.18005,46.8931,0.394926
7.2,48.6107,0.491343
7.2201,49.0056,0.491343
7.24005,50.0716,0.491343
7.26,50.9448,0.491343
7.2801,52.2129,0.491343
7.30005,52.7042,0.886269
7.32,54.0687,0.886269
7.3401,55.9435,1.49302
7.36005,57.7575,2.15435
7.38,58.5474,3.47701
7.4001,60.1047,3.96835
7.42005,61.3728,4.7582
7.44,63.0358,5.81446
7.4601,64.824,6.87071
7.48005,66.5157,7.74387
7.5,67.3699,7.9557
7.5201,68.4261,8.61702
7.54005,70.1437,9.01195
7.56,71.8613,9.01195
7.5801,72.8309,9.01195
7.60005,73.8423,9.40687
7.62,74.0351,10.0682
7.6401,75.5696,10.0682
7.66005,76.4428,10.0682
7.68,77.6373,10.1646
7.7001,78.6677,11.2209
7.72005,80.1189,11.8822
7.74,80.5138,12.6399
7.7601,82.0901,13.0349
7.78005,82.7933,13.8247
7.8,83.2846,13.8247
7.8201,84.6073,14.3448
7.84005,85.0986,15.218
7.86,86.675,16.0078
7.8801,87.3363,17.2759
7.90005,89.1503,17.9372
7.92,90.6015,18.8235
7.9401,91.6577,19.4848
7.96005,92.3191,20.8075
7.98,93.4269,20.8075
8.0001,94.4832,22.3551
8.02005,96.1369,22.75
8.04,97.5881,23.1449
8.0601,99.5175,23.9027
8.08005,99.9412,24.6925
8.1,101.701,25.0008
8.1201,103.065,25.309
8.14005,103.556,27.1517
8.16,105.165,27.5467
8.1801,105.772,27.6431
8.20005,107.04,27.7395
8.22,107.913,29.0622
8.2401,109.011,29.0622
8.26005,110.205,29.0622
8.28,111.923,29.3704
8.3001,112.116,30.0317
8.32005,114.142,30.9467
8.34,114.758,31.6499
8.3601,116.954,32.0448
8.38005,117.445,33.496
8.40015,117.869,34.3692
8.4201,119.587,34.7641
8.44005,120.46,36.4271
8.46015,120.46,36.5235
8.4801,121.837,38.2698
8.50005,123.626,38.9312
8.52015,123.837,39.3261
8.5401,126.64,39.9328
8.56005,127.343,40.1257
8.58015,128.74,40.7324
8.6001,129.443,40.7324
8.62005,130.426,41.8174
8.64015,132.355,43.1819
8.6601,133.209,44.3346
8.68005,133.912,45.1244
8.70015,134.124,45.4327
8.7201,135.999,47.0957
8.74005,136.799,47.757
8.76015,138.278,48.3638
8.7801,139.335,49.5452
8.80005,139.941,50.2065
8.82015,140.346,50.8133
8.8401,141.614,51.571
8.86005,142.767,52.3288
8.88015,143.823,53.8632
8.9001,144.738,54.8649
8.92005,145.987,56.8362
8.94015,147.679,56.9326
8.9601,148.552,57.9343
8.98005,149.82,58.7529
9.00015,150.032,58.7529
9.0201,151.13,59.1765
9.04005,152.761,60.4446
9.06015,154.787,62.6535
9.0801,155.843,62.7499
9.10005,156.036,64.2844
9.12015,158.148,65.9474
9.1401,159.811,66.6316
9.16005,161.134,67.2929
9.18015,162.287,68.1661
9.2001,162.894,69.2223
9.22005,163.5,69.8388
9.24015,165.247,70.0507
9.2601,165.439,71.7137
9.28005,166.326,71.7137
9.30015,167.382,72.1086
9.3201,167.478,72.7699
9.34005,169.408,73.6173
9.36015,170.984,74.7699
9.3801,171.379,75.3767
9.40005,172.689,75.3767
9.42015,174.269,75.6849
9.4401,175.518,76.953
9.46005,177.181,78.0093
9.48015,178.661,78.9788
9.5001,179.418,78.9788
9.52005,180.15,78.9788
9.54015,182.783,79.7687
9.5601,182.995,80.7383
9.58005,184.924,81.3996
9.60015,185.926,82.4558
9.6201,186.799,86.0838
9.64005,187.557,87.2973
9.66015,188.539,88.6073
9.6801,189.596,89.8018
9.70005,190.395,91.2209
9.72015,191.452,92.1071
9.7401,192.675,92.7685
9.76005,193.548,94.7524
9.78015,195.532,94.7524
9.8001,195.927,96.1169
9.82005,196.139,97.0865
9.84015,196.823,97.6066
9.8601,196.823,97.9148
9.88005,198.004,99.8443
9.90015,199.272,100.239
9.9201,200.425,100.239
9.94005,201.298,101.787
9.96015,202.001,102.448
9.9801,204.538,104.208
10,204.942,104.869
